Latitude,Longitude,Date,Location,Temperature
41.501299,-74.620909,20200228,New York,291.88697814941406
41.501299,-74.620909,20200229,New York,292.25767517089844
41.501299,-74.620909,20200301,New York,285.0176544189453
41.501299,-74.620909,20200302,New York,289.2075958251953
41.501299,-74.620909,20200303,New York,292.02061462402344
41.501299,-74.620909,20200304,New York,291.03155517578125
41.501299,-74.620909,20200305,New York,282.4104309082031
41.501299,-74.620909,20200306,New York,287.48785400390625
41.501299,-74.620909,20200307,New York,291.7376403808594
41.501299,-74.620909,20200308,New York,287.0202331542969
41.501299,-74.620909,20200309,New York,294.72947692871094
41.501299,-74.620909,20200310,New York,297.601318359375
41.501299,-74.620909,20200311,New York,299.22723388671875
41.501299,-74.620909,20200312,New York,290.74305725097656
41.501299,-74.620909,20200313,New York,293.11634826660156
41.501299,-74.620909,20200314,New York,290.35008239746094
41.501299,-74.620909,20200315,New York,286.58734130859375
41.501299,-74.620909,20200316,New York,289.5271301269531
41.501299,-74.620909,20200317,New York,291.35923767089844
41.501299,-74.620909,20200318,New York,290.38494873046875
41.501299,-74.620909,20200319,New York,288.95338439941406
41.501299,-74.620909,20200320,New York,289.7458038330078
41.501299,-74.620909,20200321,New York,289.7321472167969
41.501299,-74.620909,20200322,New York,287.1544189453125
41.501299,-74.620909,20200323,New York,287.07957458496094
41.501299,-74.620909,20200324,New York,282.95335388183594
41.501299,-74.620909,20200325,New York,281.3938751220703
41.501299,-74.620909,20200326,New York,286.65911865234375
41.501299,-74.620909,20200327,New York,289.1119079589844
41.501299,-74.620909,20200328,New York,290.96710205078125
41.501299,-74.620909,20200329,New York,284.8406524658203
41.501299,-74.620909,20200330,New York,284.3808898925781
41.501299,-74.620909,20200331,New York,284.19561767578125
41.501299,-74.620909,20200401,New York,286.87562561035156
41.501299,-74.620909,20200402,New York,288.1182556152344
41.501299,-74.620909,20200403,New York,290.6852264404297
41.501299,-74.620909,20200404,New York,289.9478302001953
41.501299,-74.620909,20200405,New York,289.1453094482422
41.501299,-74.620909,20200406,New York,288.4443054199219
41.501299,-74.620909,20200407,New York,291.4820098876953
41.501299,-74.620909,20200408,New York,292.11180114746094
41.501299,-74.620909,20200409,New York,293.4512634277344
41.501299,-74.620909,20200410,New York,291.30406188964844
41.501299,-74.620909,20200411,New York,291.8863830566406
41.501299,-74.620909,20200412,New York,290.0506286621094
41.501299,-74.620909,20200413,New York,292.9156951904297
41.501299,-74.620909,20200414,New York,289.72593688964844
41.501299,-74.620909,20200415,New York,293.15818786621094
41.501299,-74.620909,20200416,New York,293.35693359375
41.501299,-74.620909,20200417,New York,294.5623016357422
41.501299,-74.620909,20200418,New York,291.203125
41.501299,-74.620909,20200419,New York,293.6229553222656
41.501299,-74.620909,20200420,New York,286.7173767089844
41.501299,-74.620909,20200421,New York,291.21669006347656
41.501299,-74.620909,20200422,New York,293.3441162109375
41.501299,-74.620909,20200423,New York,293.97930908203125
41.501299,-74.620909,20200424,New York,294.7395477294922
41.501299,-74.620909,20200425,New York,294.939453125
41.501299,-74.620909,20200426,New York,293.8205261230469
41.501299,-74.620909,20200427,New York,293.4038848876953
41.501299,-74.620909,20200428,New York,294.8909149169922
41.501299,-74.620909,20200429,New York,293.54541015625
35.463595,-119.325359,20200101,California,288.7632598876953
35.463595,-119.325359,20200102,California,288.3794708251953
35.463595,-119.325359,20200103,California,285.8895721435547
35.463595,-119.325359,20200104,California,286.5149230957031
35.463595,-119.325359,20200105,California,286.47337341308594
35.463595,-119.325359,20200106,California,286.27696228027344
35.463595,-119.325359,20200107,California,286.7769317626953
35.463595,-119.325359,20200108,California,285.6527404785156
35.463595,-119.325359,20200109,California,283.2794189453125
35.463595,-119.325359,20200110,California,284.24232482910156
35.463595,-119.325359,20200111,California,285.31654357910156
35.463595,-119.325359,20200112,California,287.73338317871094
35.463595,-119.325359,20200113,California,289.01220703125
35.463595,-119.325359,20200114,California,288.02105712890625
35.463595,-119.325359,20200115,California,288.71412658691406
35.463595,-119.325359,20200116,California,289.33018493652344
35.463595,-119.325359,20200117,California,287.67298889160156
35.463595,-119.325359,20200118,California,283.71754455566406
35.463595,-119.325359,20200119,California,282.42213439941406
35.463595,-119.325359,20200120,California,286.90370178222656
35.463595,-119.325359,20200121,California,288.2434844970703
35.463595,-119.325359,20200122,California,290.1862335205078
35.463595,-119.325359,20200123,California,291.1991729736328
35.463595,-119.325359,20200124,California,289.4754333496094
35.463595,-119.325359,20200125,California,286.0520782470703
35.463595,-119.325359,20200126,California,289.1258544921875
35.463595,-119.325359,20200127,California,289.8664245605469
35.463595,-119.325359,20200128,California,291.03369140625
35.463595,-119.325359,20200129,California,292.6534423828125
35.463595,-119.325359,20200130,California,291.1631774902344
35.463595,-119.325359,20200131,California,291.78382873535156
35.463595,-119.325359,20200201,California,293.8894805908203
35.463595,-119.325359,20200202,California,295.50457763671875
35.463595,-119.325359,20200203,California,294.4648742675781
35.463595,-119.325359,20200204,California,290.9329071044922
35.463595,-119.325359,20200205,California,292.1096954345703
35.463595,-119.325359,20200206,California,289.59767150878906
35.463595,-119.325359,20200207,California,290.28643798828125
35.463595,-119.325359,20200208,California,292.0062561035156
35.463595,-119.325359,20200209,California,294.49951171875
35.463595,-119.325359,20200210,California,295.5134582519531
35.463595,-119.325359,20200211,California,293.5403594970703
35.463595,-119.325359,20200212,California,291.6898956298828
35.463595,-119.325359,20200213,California,293.42955017089844
35.463595,-119.325359,20200214,California,292.42469787597656
35.463595,-119.325359,20200215,California,293.14161682128906
35.463595,-119.325359,20200216,California,294.51219177246094
35.463595,-119.325359,20200217,California,291.5794677734375
35.463595,-119.325359,20200218,California,291.36878967285156
35.463595,-119.325359,20200219,California,293.12060546875
35.463595,-119.325359,20200220,California,292.07948303222656
35.463595,-119.325359,20200221,California,292.15965270996094
35.463595,-119.325359,20200222,California,295.08056640625
35.463595,-119.325359,20200223,California,295.30262756347656
35.463595,-119.325359,20200224,California,293.3895721435547
35.463595,-119.325359,20200225,California,291.04833984375
35.463595,-119.325359,20200226,California,294.14112854003906
35.463595,-119.325359,20200227,California,298.01963806152344
35.463595,-119.325359,20200228,California,296.82057189941406
35.463595,-119.325359,20200229,California,292.84165954589844
35.463595,-119.325359,20200301,California,293.2852325439453
35.463595,-119.325359,20200302,California,293.1607208251953
35.463595,-119.325359,20200303,California,295.44053649902344
35.463595,-119.325359,20200304,California,295.24053955078125
35.463595,-119.325359,20200305,California,288.4201965332031
35.463595,-119.325359,20200306,California,288.93316650390625
35.463595,-119.325359,20200307,California,293.8606872558594
35.463595,-119.325359,20200308,California,293.1139831542969
35.463595,-119.325359,20200309,California,293.49119567871094
35.463595,-119.325359,20200310,California,300.087646484375
35.463595,-119.325359,20200311,California,302.21746826171875
35.463595,-119.325359,20200312,California,295.70204162597656
35.463595,-119.325359,20200313,California,295.43666076660156
35.463595,-119.325359,20200314,California,293.05906677246094
35.463595,-119.325359,20200315,California,290.52874755859375
35.463595,-119.325359,20200316,California,290.3220520019531
35.463595,-119.325359,20200317,California,294.98423767089844
35.463595,-119.325359,20200318,California,296.09588623046875
35.463595,-119.325359,20200319,California,290.75221252441406
35.463595,-119.325359,20200320,California,288.3083038330078
35.463595,-119.325359,20200321,California,292.2341003417969
35.463595,-119.325359,20200322,California,291.4298095703125
35.463595,-119.325359,20200323,California,288.10105895996094
